run_id,phase,patch_size,embed_dim,depth,epochs,test_accuracy,train_time_s,final_loss
0,baseline,4,48,4,10,89.4900,375.3,0.2785
1,patch_sweep_r1,2,48,4,10,87.2200,499.0,0.3386
2,patch_sweep_r1,7,48,4,10,88.1500,317.4,0.2848
3,patch_sweep_r1,14,48,4,10,88.2600,288.0,0.2695
4,embed_sweep_r1,4,16,4,10,86.2000,352.4,0.3664
5,embed_sweep_r1,4,32,4,10,88.3900,384.8,0.3100
6,embed_sweep_r1,4,96,4,10,87.8500,453.3,0.2792
7,depth_sweep_r1,4,48,1,10,88.8900,234.9,0.2874
8,depth_sweep_r1,4,48,2,10,88.4500,260.1,0.2834
9,depth_sweep_r1,4,48,6,10,88.4100,511.0,0.2923
10,patch_embed_grid,2,16,4,10,84.5400,458.7,0.4035
11,patch_embed_grid,2,32,4,10,86.3300,476.7,0.3577
12,patch_embed_grid,2,48,4,10,86.4400,499.2,0.3381
13,patch_embed_grid,2,96,4,10,87.0200,594.3,0.3301
14,patch_embed_grid,4,16,4,10,86.4300,364.6,0.3721
15,patch_embed_grid,4,32,4,10,88.5700,374.8,0.2979
16,patch_embed_grid,4,96,4,10,88.4600,457.4,0.2762
17,patch_embed_grid,7,16,4,10,86.6400,299.4,0.3469
18,patch_embed_grid,7,32,4,10,87.6000,302.9,0.3079
19,patch_embed_grid,7,48,4,10,88.6400,308.1,0.2830
20,patch_embed_grid,7,96,4,10,88.6800,338.6,0.2747
21,patch_embed_grid,14,16,4,10,86.8100,281.7,0.3468
22,patch_embed_grid,14,32,4,10,87.5300,275.4,0.2926
23,patch_embed_grid,14,48,4,10,88.7300,278.5,0.2747
24,patch_embed_grid,14,96,4,10,88.0800,277.3,0.2707
25,patch_depth_grid,2,48,1,10,86.8500,227.0,0.3282
26,patch_depth_grid,2,48,2,10,86.7500,306.0,0.3297
27,patch_depth_grid,2,48,4,10,87.3400,492.7,0.3193
28,patch_depth_grid,2,48,6,10,87.2300,683.8,0.3291
29,patch_depth_grid,4,48,1,10,88.0700,234.5,0.2904
30,patch_depth_grid,4,48,2,10,88.6700,260.0,0.2766
31,patch_depth_grid,4,48,6,10,88.6100,511.1,0.2905
32,patch_depth_grid,7,48,1,10,87.7700,207.9,0.2834
33,patch_depth_grid,7,48,2,10,87.6600,239.6,0.2885
34,patch_depth_grid,7,48,4,10,88.6200,295.8,0.2854
35,patch_depth_grid,7,48,6,10,88.5300,378.4,0.2837
36,patch_depth_grid,14,48,1,10,87.4900,205.4,0.2901
37,patch_depth_grid,14,48,2,10,88.3600,213.1,0.2759
38,patch_depth_grid,14,48,4,10,88.3800,277.4,0.2763
39,patch_depth_grid,14,48,6,10,88.5000,336.6,0.2783
40,embed_depth_grid,4,16,1,10,85.5200,213.5,0.3728
41,embed_depth_grid,4,16,2,10,86.3200,245.1,0.3642
42,embed_depth_grid,4,16,4,10,85.7600,349.3,0.3679
43,embed_depth_grid,4,16,6,10,85.2800,464.1,0.3795
44,embed_depth_grid,4,32,1,10,88.0000,231.1,0.3136
45,embed_depth_grid,4,32,2,10,87.6000,255.6,0.3162
46,embed_depth_grid,4,32,4,10,88.2600,367.7,0.3014
47,embed_depth_grid,4,32,6,10,87.7400,491.1,0.3133
48,embed_depth_grid,4,48,1,10,87.4400,236.4,0.2909
49,embed_depth_grid,4,48,2,10,88.9600,260.9,0.2854
50,embed_depth_grid,4,48,6,10,88.7400,510.4,0.2961
51,embed_depth_grid,4,96,1,10,88.4800,242.0,0.2629
52,embed_depth_grid,4,96,2,10,88.8600,286.7,0.2680
53,embed_depth_grid,4,96,4,10,88.4100,455.1,0.2731
54,embed_depth_grid,4,96,6,10,89.3500,622.6,0.2757
